id,PClass,Age,Gender,Survived,GenderCode,Name
1,1st,29.0,female,1,1,"Allen, Miss Elisabeth Walton"
2,1st,2.0,female,0,1,"Allison, Miss Helen Loraine"
3,1st,30.0,male,0,0,"Allison, Mr Hudson Joshua Creighton"
4,1st,25.0,female,0,1,"Allison, Mrs Hudson JC (Bessie Waldo Daniels)"
5,1st,0.92,male,1,0,"Allison, Master Hudson Trevor"
6,1st,47.0,male,1,0,"Anderson, Mr Harry"
7,1st,63.0,female,1,1,"Andrews, Miss Kornelia Theodosia"
8,1st,39.0,male,0,0,"Andrews, Mr Thomas, jr"
9,1st,58.0,female,1,1,"Appleton, Mrs Edward Dale (Charlotte Lamson)"
10,1st,71.0,male,0,0,"Artagaveytia, Mr Ramon"
11,1st,47.0,male,0,0,"Astor, Colonel John Jacob"
12,1st,19.0,female,1,1,"Astor, Mrs John Jacob (Madeleine Talmadge Force)"
13,1st,30.0,female,1,1,"Aubert, Mrs Leontine Pauline"
14,1st,30.0,male,1,0,"Barkworth, Mr Algernon H"
15,1st,30.0,male,0,0,"Baumann, Mr John D"
16,1st,50.0,female,1,1,"Baxter, Mrs James (Helene DeLaudeniere Chaput)"
17,1st,24.0,male,0,0,"Baxter, Mr Quigg Edmond"
18,1st,36.0,male,0,0,"Beattie, Mr Thomson"
19,1st,37.0,male,1,0,"Beckwith, Mr Richard Leonard"
20,1st,47.0,female,1,1,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)"
21,1st,26.0,male,1,0,"Behr, Mr Karl Howell"
22,1st,25.0,male,0,0,"Birnbaum, Mr Jakob"
23,1st,25.0,male,1,0,"Bishop, Mr Dickinson H"
24,1st,19.0,female,1,1,"Bishop, Mrs Dickinson H (Helen Walton)"
25,1st,28.0,male,1,0,"Bjornstrm-Steffansson, Mr Mauritz Hakan"
26,1st,45.0,male,0,0,"Blackwell, Mr Stephen Weart"
27,1st,39.0,male,1,0,"Blank, Mr Henry"
28,1st,30.0,female,1,1,"Bonnell, Miss Caroline"
29,1st,58.0,female,1,1,"Bonnell, Miss Elizabeth"
30,1st,30.0,male,0,0,"Borebank, Mr John James"
31,1st,45.0,female,1,1,"Bowen, Miss Grace Scott"
32,1st,22.0,female,1,1,"Bowerman, Miss Elsie Edith"
33,1st,30.0,male,1,0,"Bradley, Mr George"
34,1st,41.0,male,0,0,"Brady, Mr John Bertram"
35,1st,48.0,male,0,0,"Brandeis, Mr Emil"
36,1st,30.0,male,0,0,"Brewe, Dr Arthur Jackson"
37,1st,44.0,female,1,1,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)"""
38,1st,59.0,female,1,1,"Brown, Mrs John Murray (Caroline Lane Lamson)"
39,1st,60.0,female,1,1,"Bucknell, Mrs William Robert (Emma Eliza Ward)"
40,1st,45.0,male,0,0,"Butt, Major Archibald Willingham"
41,1st,30.0,male,1,0,"Calderhead, Mr Edward P"
42,1st,53.0,female,1,1,"Candee, Mrs Edward (Helen Churchill Hungerford)"
43,1st,58.0,female,1,1,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)"
44,1st,36.0,male,1,0,"Cardeza, Mr Thomas Drake Martinez"
45,1st,33.0,male,0,0,"Carlsson, Mr Frans Olof"
46,1st,30.0,male,0,0,"Carrau, Mr Francisco M"
47,1st,30.0,male,0,0,"Carrau, Mr Jose Pedro"
48,1st,36.0,male,1,0,"Carter, Mr William Ernest"
49,1st,36.0,female,1,1,"Carter, Mrs William Ernest (Lucile Polk)"
50,1st,14.0,female,1,1,"Carter, Miss Lucile Polk"
51,1st,11.0,male,1,0,"Carter, Master William T II"
52,1st,49.0,male,0,0,"Case, Mr Howard Brown"
53,1st,30.0,female,1,1,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)"
54,1st,36.0,male,0,0,"Cavendish, Mr Tyrell William"
55,1st,30.0,female,1,1,"Cavendish, Mrs Tyrell William Julia Florence Siegel"
56,1st,46.0,male,0,0,"Chaffee, Mr Herbert Fuller"
57,1st,47.0,female,1,1,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)"
58,1st,27.0,male,1,0,"Chambers, Mr Norman Campbell"
59,1st,31.0,female,1,1,"Chambers, Mrs Norman Campbell (Bertha Griggs)"
60,1st,30.0,female,1,1,"Cherry, Miss Gladys"
61,1st,30.0,male,1,0,"Chevre, Mr Paul"
62,1st,30.0,female,1,1,"Chibnall (Bowerman), Mrs Edith Martha"
63,1st,30.0,male,0,0,"Chisholm, Mr Roderick Robert"
64,1st,27.0,male,0,0,"Clark, Mr Walter Miller"
65,1st,26.0,female,1,1,"Clark, Mrs Walter Miller (Virginia McDowell)"
66,1st,30.0,male,0,0,"Clifford, Mr George Quincy"
67,1st,30.0,male,0,0,"Colley, Mr Edward Pomeroy"
68,1st,64.0,female,1,1,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)"
69,1st,37.0,male,0,0,"Compton, Mr Alexander Taylor, Jr"
70,1st,39.0,female,1,1,"Compton, Miss Sara Rebecca"
71,1st,55.0,female,1,1,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)"
72,1st,30.0,male,0,0,"Crafton, Mr John Bertram"
73,1st,70.0,male,0,0,"Crosby, Captain Edward Gifford"
74,1st,69.0,female,1,1,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)"
75,1st,36.0,female,1,1,"Crosby, Miss Harriet R"
76,1st,39.0,male,0,0,"Cumings, Mr John Bradley"
77,1st,38.0,female,1,1,"Cumings, Mrs John Bradley (Florence Briggs Thayer)"
78,1st,30.0,male,1,0,"Daly, Mr Peter Denis "
79,1st,27.0,male,1,0,"Daniel, Mr Robert Williams"
80,1st,31.0,male,0,0,"Davidson, Mr Thornton"
81,1st,27.0,female,1,1,"Davidson, Mrs Thornton (Orian Hays)"
82,1st,30.0,female,1,1,"de Villiers, Madame Berthe"
83,1st,31.0,male,1,0,"Dick, Mr Albert Adrian"
84,1st,17.0,female,1,1,"Dick, Mrs Albert Adrian Vera Gillespie"
85,1st,30.0,male,1,0,"Dodge, Dr Washington"
86,1st,30.0,female,1,1,"Dodge, Mrs Washington (Ruth Vidaver)"
87,1st,4.0,male,1,0,"Dodge, Master Washington"
88,1st,27.0,female,1,1,"Douglas, Mrs Frederick Charles (Suzette Baxter)"
89,1st,50.0,male,0,0,"Douglas, Mr Walter Donald"
90,1st,48.0,female,1,1,"Douglas, Mrs Walter Donald (Mahala Dutton)"
91,1st,49.0,male,1,0,"Duff Gordon, Sir Cosmo Edmund"
92,1st,48.0,female,1,1,"Duff Gordon, Lady (Lucille Wallace Sutherland)"
93,1st,39.0,male,0,0,"Dulles, Mr William Crothers"
94,1st,23.0,female,1,1,"Earnshaw, Mrs Boulton (Olive Potter)"
95,1st,53.0,female,1,1,"Eustis, Miss Elizabeth Mussey"
96,1st,36.0,female,0,1,"Evans, Miss Edith Corse"
97,1st,30.0,female,1,1,"Flegenheim, Mrs Alfred (Antoinette)"
98,1st,30.0,male,1,0,"Flynn, Mr John Irving"
99,1st,30.0,male,0,0,"Foreman, Mr Benjamin Laventall"
100,1st,24.0,female,1,1,"Fortune, Miss Alice Elizabeth"
101,1st,19.0,male,0,0,"Fortune, Mr Charles Alexander"
102,1st,28.0,female,1,1,"Fortune, Miss Ethel Flora"
103,1st,23.0,female,1,1,"Fortune, Miss Mabel"
104,1st,64.0,male,0,0,"Fortune, Mr Mark"
105,1st,60.0,female,1,1,"Fortune, Mrs Mark (Mary McDougald)"
106,1st,30.0,male,0,0,"Franklin, Mr Thomas Parham"
107,1st,49.0,male,1,0,"Frauenthal, Dr Henry William"
108,1st,30.0,female,1,1,"Frauenthal, Mrs Henry William (Clara Heinsheimer)"
109,1st,44.0,male,1,0,"Frauenthal, Mr Isaac Gerald"
110,1st,22.0,female,1,1,"Frolicher, Miss Marguerite"
111,1st,60.0,male,1,0,"Frolicher-Stehli, Mr Maxmillian"
112,1st,48.0,female,1,1,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)"
113,1st,37.0,male,0,0,"Futrelle, Mr Jacques"
114,1st,35.0,female,1,1,"Futrelle, Mrs Jacques (May Peel)"
115,1st,47.0,male,0,0,"Gee, Mr Arthur H"
116,1st,22.0,female,1,1,"Gibson, Miss Dorothy"
117,1st,45.0,female,1,1,"Gibson, Mrs Leonard (Pauline C Boeson)"
118,1st,49.0,male,1,0,"Goldenberg, Mr Samuel L"
119,1st,30.0,female,1,1,"Goldenberg, Mrs Samuel L (Edwiga Grabowsko)"
120,1st,71.0,male,0,0,"Goldschmidt, Mr George B"
121,1st,54.0,male,1,0,"Gracie, Colonel Archibald IV"
122,1st,38.0,male,0,0,"Graham, Mr George Edward"
123,1st,19.0,female,1,1,"Graham, Miss Margaret Edith"
124,1st,58.0,female,1,1,"Graham, Mrs William Thompson (Edith Junkins)"
125,1st,45.0,female,1,1,"Greenfield, Mrs Leo David (Blanche Strouse)"
126,1st,23.0,male,1,0,"Greenfield, Mr William Bertram"
127,1st,46.0,male,0,0,"Guggenheim, Mr Benjamin"
128,1st,25.0,male,1,0,"Harder, Mr George Achilles"
129,1st,21.0,female,1,1,"Harder, Mrs George Achilles (Dorothy Annan)"
130,1st,48.0,male,1,0,"Harper, Mr Henry Sleeper"
131,1st,49.0,female,1,1,"Harper, Mrs Henry Sleeper (Myna Haxtun)"
132,1st,45.0,male,0,0,"Harris, Mr Henry Birkhardt"
133,1st,36.0,female,1,1,"Harris, Mrs Henry Birkhardt (Irene Wallach)"
134,1st,30.0,male,1,0,"Hawksford, Mr Walter James"
135,1st,55.0,male,0,0,"Hays, Mr Charles Melville"
136,1st,52.0,female,1,1,"Hays, Mrs Charles Melville (Clara Jennings Gregg)"
137,1st,24.0,female,1,1,"Hays, Miss Margaret Bechstein"
138,1st,30.0,male,0,0,"Head, Mr Christopher"
139,1st,30.0,male,0,0,"Hilliard, Mr Herbert Henry"
140,1st,30.0,male,0,0,"Hipkins, Mr William Edward"
141,1st,16.0,female,1,1,"Hippach, Miss Jean Gertrude"
142,1st,44.0,female,1,1,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)"
143,1st,51.0,female,1,1,"Hogeboom, Mrs John C (Anna Andrews)"
144,1st,42.0,male,0,0,"Holverson, Mr Alexander Oskar"
145,1st,35.0,female,1,1,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)"
146,1st,35.0,male,1,0,"Homer, Mr Harry"
147,1st,38.0,male,1,0,"Hoyt, Mr Frederick Maxfield"
148,1st,35.0,female,1,1,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)"
149,1st,30.0,male,0,0,"Hoyt, Mr William F"
150,1st,50.0,female,0,1,"Isham, Miss Anne Elizabeth"
151,1st,49.0,male,1,0,"Ismay, Mr Joseph Bruce"
152,1st,46.0,male,0,0,"Jones, Mr Charles Cresson"
153,1st,30.0,male,0,0,"Julian, Mr Henry Forbes"
154,1st,58.0,male,0,0,"Kent, Mr Edward Austin"
