nro;sukup;ikä;perhe;koulutus;palveluv;palkka;johto;työtov;työymp;palkkat;työteht;työterv;lomaosa;kuntosa;hieroja
1;1;38;1;1;22;3587;3;3;3;3;3;;;;
2;1;29;2;2;10;2963;1;5;2;1;3;;;;
3;1;30;1;1;7;1989;3;4;1;1;3;1;;;
4;1;36;2;1;14;2144;3;3;3;3;3;1;;;
5;1;24;1;2;4;2183;2;3;2;1;2;1;;;
6;2;31;2;2;14;1910;4;4;5;2;4;1;1;;
7;1;49;1;2;16;2066;3;5;4;2;2;;;1;
8;1;55;1;1;0;2066;3;5;3;1;3;1;;;
9;1;40;2;1;23;2768;2;4;4;2;4;;1;;
10;1;33;1;1;16;2106;3;2;1;1;1;1;;;
11;1;39;2;1;22;2651;3;5;3;1;3;;;;
12;1;40;2;3;21;2846;3;5;3;1;2;;1;;1
13;1;35;2;3;15;2808;3;5;3;1;4;;1;;
14;1;58;2;3;21;3587;4;5;4;1;3;;;;
15;1;53;2;3;12;3393;4;4;4;4;4;;1;;
16;2;42;2;3;23;2691;3;3;3;3;3;1;;;1
17;1;26;1;4;2;5225;5;5;5;4;5;;;1;
18;2;38;2;3;17;2729;4;3;4;2;1;;;;
19;1;42;1;3;20;2925;2;3;4;1;4;1;;;1
20;2;40;2;2;13;2457;3;3;4;3;2;1;;;1
21;2;40;2;3;20;2691;2;4;5;3;4;;;;
22;1;47;2;3;17;4874;2;4;3;2;4;;1;;
23;1;44;2;1;27;3510;4;4;4;4;4;;1;;
24;1;36;1;3;7;4446;3;4;3;4;5;;;;
25;1;43;2;3;1;2925;4;4;4;4;4;;1;;
26;1;26;1;2;3;1521;2;4;2;1;3;1;;1;1
27;1;26;1;2;2;1989;2;4;2;2;3;1;;;1
28;2;56;1;1;15;2223;3;4;3;2;4;1;;;1
29;1;47;2;2;23;2808;2;4;3;1;4;1;;;
30;1;21;1;;;1949;4;4;3;3;2;1;;;
31;1;21;1;3;1;2340;4;5;3;4;2;1;;1;1
32;1;45;2;1;24;2925;4;4;4;3;4;;1;;
33;1;59;2;3;15;6278;4;4;5;4;4;;1;;
34;1;37;2;1;14;2183;1;5;1;1;2;1;;;1
35;1;28;2;2;5;1989;3;4;3;3;3;1;;1;1
36;1;31;2;3;0;1559;2;4;3;1;3;1;;;
37;2;56;2;2;17;2729;5;5;5;5;5;;;;1
38;1;50;2;1;1;2027;5;5;4;1;4;1;1;;
39;1;30;1;2;10;2300;3;5;3;3;4;;;;
40;1;32;1;1;3;2106;1;5;4;1;3;1;;;
41;1;33;2;3;9;2846;3;3;4;2;3;1;;;
42;1;29;1;2;6;2534;3;4;3;1;2;1;;;
43;2;40;2;3;12;2144;4;4;4;4;4;;1;;
44;1;30;1;2;7;2223;2;3;4;1;3;1;;;1
45;1;55;2;1;35;2651;4;5;4;2;4;1;;;1
46;2;51;2;1;28;1989;3;3;2;2;3;1;;;1
47;2;22;1;3;21;1872;3;3;4;1;3;;;1;
48;1;34;2;1;18;2183;4;5;4;1;3;;;;
49;1;27;2;2;7;2729;4;4;3;3;5;;;1;
50;1;29;1;3;7;2340;3;4;3;2;3;1;;;
51;2;39;2;2;10;2106;4;5;5;4;5;;1;;
52;1;41;2;1;18;2261;5;5;5;2;5;;1;;
53;1;44;2;1;3;1989;1;2;2;1;1;1;;;
54;1;25;1;2;1;1559;2;4;3;1;2;1;;;
55;2;45;2;1;17;2417;3;5;4;3;3;;;;1
56;2;31;2;1;6;1949;4;4;4;3;3;1;;;1
57;1;61;2;2;36;3119;2;;2;1;5;1;;;1
58;1;38;2;2;;2574;2;3;1;1;2;1;;;1
59;1;20;1;2;1;2261;3;4;3;2;3;;;;
60;1;31;1;1;10;2144;4;4;3;1;3;1;;;
61;1;44;1;1;19;2183;2;2;1;1;2;1;;;
62;1;40;2;1;0;1872;2;3;1;2;3;1;;;
63;2;51;2;2;10;1872;4;3;2;2;3;1;;;
64;2;44;1;2;1;1715;4;4;3;2;3;1;;;1
65;2;35;2;2;17;2691;4;4;5;2;4;1;;;1
66;2;37;2;1;16;2027;5;5;5;4;5;1;1;;
67;1;37;2;4;8;5069;3;4;3;2;2;1;1;;1
68;1;33;2;3;7;2417;2;4;3;1;4;;;;
69;1;28;2;2;1;3510;4;5;3;1;4;;;;
70;1;52;2;2;22;3119;3;4;3;2;2;1;1;;1
71;1;34;2;2;1;2495;3;5;5;3;4;;1;;
72;1;46;2;2;23;3470;3;5;5;3;4;;1;;
73;2;40;2;3;2;2027;5;3;4;3;4;1;;;
74;1;45;2;1;20;2846;3;5;1;1;3;1;;;
75;1;40;1;1;1;1949;1;5;1;1;1;1;;;
76;1;37;1;2;15;1598;1;5;1;1;1;1;;;
77;1;39;1;2;22;2183;4;5;3;1;2;;;;
78;1;22;1;3;0;1598;4;4;4;3;4;;1;1;
79;1;33;1;1;2;1638;1;3;2;1;2;1;;;
80;1;27;1;2;7;2612;3;4;3;3;3;1;;1;
81;1;35;2;2;16;2808;3;4;3;3;3;;;;
82;2;35;2;3;15;2183;3;4;4;3;4;1;;;
